number,achieve'money,change(%)
919344,14841527,0.2298
741714,11882682,0.1854
998288,16290002,0.2496
676000,10889604,0.169
926500,14698999,0.2316
696121,11051094,0.174
1163410,18046918,0.2909
885846,13558536,0.2215
1577049,25064878,0.3943
582000,9266562,0.1455
555713,8717755,0.1389
464768,7382086,0.1162
391251,6184258,0.0978
2735576,44713467,0.6839
633857,10217899,0.1585
1958956,32176583,0.4897
3202294,52998860,0.8006
5794708,98109648,1.4487
2937541,49684734,0.7344
1056527,17677200,0.2641
719632,12048240,0.1799
1379811,23320720,0.345
1274940,21229128,0.3187
1497877,24820446,0.3745
972762,16273894,0.2432
2448118,41355981,0.612
1809029,30475658,0.4523
785390,13096956,0.1963
1280569,21188697,0.3201
1028673,16861600,0.2572
772166,12685390,0.193
1203417,19515865,0.3009
948148,15275787,0.237
550695,8856330,0.1377
1401155,22336685,0.3503
500259,8049943,0.1251
1451783,23714911,0.3629
905291,14472976,0.2263
717186,11328125,0.1793
828800,12850809,0.2072
1019270,15604254,0.2548
805584,12364062,0.2014
836434,12858913,0.2091
794626,12121357,0.1987
613500,9524391,0.1534
365536,5627563,0.0914
1057159,15904151,0.2643
590654,8897544,0.1477
701050,10533881,0.1753
1285460,19003118,0.3214
510400,7592602,0.1276
1254156,18164708,0.3135
611300,8774974,0.1528
1313046,18571918,0.3283
1208660,16889229,0.3022
1179826,16216237,0.295
1427117,19086437,0.3568
992105,13197873,0.248
1457101,19455554,0.3643
2199990,30629008,0.55
818725,11352028,0.2047
1698114,22613879,0.4245
1322408,17371049,0.3306
652462,8631287,0.1631
5164874,73053411,1.2912
2178727,30823009,0.5447
N/A,N/A,N/A
2233017,32260381,0.5583
1393596,19869097,0.3484
1479406,21315715,0.3699
2017085,29462447,0.5043
2005538,28671039,0.5014
1903128,26390526,0.4758
793280,11195162,0.1983
623077,8703619,0.1558
565953,7855852,0.1415
375399,5196200,0.0938
1222322,17326234,0.3056
2161710,31155721,0.5404
2223363,32233188,0.5558
5486598,82453976,1.3716
3469540,52933505,0.8674
3940904,60088081,0.9852
29679731,486519580,7.4199
16066266,266391188,4.0166
9920159,166246144,2.48
8273773,139087725,2.0684
8329421,140710803,2.0824
7631747,129508119,1.9079
7779973,132925119,1.945
4779442,80791329,1.1949
2968930,49953049,0.7422
2853401,47458719,0.7134
2845487,47776390,0.7114
2375476,40196112,0.5939
2647894,43792359,0.662
1420920,23225863,0.3552
1341613,22029194,0.3354
1572032,26074938,0.393
3331599,56123688,0.8329
2042600,34569694,0.5107
1493106,25268951,0.3733
2925891,49154941,0.7315
1757954,29537905,0.4395
1460980,24283264,0.3652
1012961,16817767,0.2532
942499,15626069,0.2356
596577,9844715,0.1491
996253,16352131,0.2491
1133734,18540470,0.2834
1163919,19000986,0.291
677659,11079740,0.1694
707522,11614990,0.1769
878722,14244922,0.2197
1397972,22319627,0.3495
1277557,20494058,0.3194
1494612,24115384,0.3737
1493985,24588265,0.3735
595982,9831309,0.149
1003430,16478620,0.2509
564400,9147768,0.1411
1872229,29833627,0.4681
980476,15502381,0.2451
1758210,27306854,0.4396
2067600,31208604,0.5169
1008296,15239350,0.2521
1046792,15629785,0.2617
2116737,32113071,0.5292
724517,10955323,0.1811
944904,14222324,0.2362
1081874,15949179,0.2705
915800,13510021,0.2289
737703,10896970,0.1844
1535200,22260468,0.3838
954190,13795816,0.2385
643415,9320130,0.1609
643715,9133193,0.1609
1850343,26639296,0.4626
875950,12512712,0.219
1255187,18202552,0.3138
995670,14666577,0.2489
574159,8492504,0.1435
620994,9169665,0.1552
421563,6171333,0.1054
462400,6742610,0.1156
462600,6681128,0.1157
303230,4344197,0.0758
773244,11361004,0.1933
271120,3964432,0.0678
366207,5406924,0.0916
2142347,32391972,0.5356
12637486,210515270,3.1594
20974324,367671979,5.2436
6429693,110389886,1.6074
3354266,57531672,0.8386
N/A,N/A,N/A
10917007,193790444,2.7293
3237587,56003978,0.8094
4525165,79760849,1.1313
3155119,55104242,0.7888
1752252,30325849,0.4381
1659602,28925834,0.4149
1913645,33095491,0.4784
3366399,57389525,0.8416
1667544,28099567,0.4169
988900,16667402,0.2472
1994088,33938329,0.4985
2326480,40198690,0.5816
1033398,17723995,0.2583
2182128,37964973,0.5455
6368661,112358137,1.5922
2710959,47343698,0.6777
5505842,96514890,1.3765
3398660,59771307,0.8497
2415973,42062047,0.604
2351803,40323245,0.588
1421535,24299536,0.3554
4436266,77974515,1.1091
2952288,51748663,0.7381
990131,17176049,0.2475
1715826,30112500,0.429
1398827,24129679,0.3497
1375739,23833430,0.3439
709246,12309712,0.1773
1829524,32077539,0.4574
1250502,21710317,0.3126
1036459,17895737,0.2591
4657940,79297119,1.1645
2207985,37123929,0.552
602203,10198207,0.1506
1083791,18260008,0.2709
2032116,34943815,0.508
18699277,335451210,4.6748
19764031,364098169,4.941
10687260,131013909,1.7812
31843137,405116895,5.3072
12008659,153305321,2.0014
11937390,150369765,1.9896
4317679,54555542,0.7196
4990494,62748787,0.8317
2610256,32577014,0.435
2873662,35847568,0.4789
12725745,163820226,2.121
6662305,85783411,1.1104
9013100,113412574,1.5022
4573314,57090350,0.7622
5374321,65796161,0.8957
2778381,34159525,0.4631
4238321,52199219,0.7064
2004930,24748662,0.3342
1399350,17257435,0.2332
5812436,69662603,0.9687
2796454,33230885,0.4661
1316618,15644393,0.2194
3372809,40068414,0.5621
N/A,N/A,N/A
1540394,18317152,0.2567
1187984,14140553,0.198
1484149,17765864,0.2474
1394643,16673288,0.2324
4171824,49805140,0.6953
2023850,23463439,0.3373
1496401,17098637,0.2494
3146705,35220650,0.5245
2706783,29532185,0.4511
1687226,18053517,0.2812
1887584,20174260,0.3146
2195555,23858923,0.3659
1859287,19944028,0.3099
1259724,13578039,0.21
1014910,11006206,0.1692
2626406,29155521,0.4377
2257136,24892171,0.3762
1416799,15469040,0.2361
1089334,11844647,0.1816
1949334,20693574,0.3249
1115961,11850685,0.186
534602,5718355,0.0891
1295967,14008780,0.216
604067,6463728,0.1007
1963706,21484102,0.3273
4341196,48649285,0.7235
1839992,20600053,0.3067
2665225,30052931,0.4442
5477896,61638622,0.913
4601282,49492013,0.7669
6271528,68304163,1.0453
2128829,22955777,0.3548
1417220,15275829,0.2362
1735623,18679774,0.2893
2068829,22311189,0.3448
1551906,16587406,0.2587
2371358,24964012,0.3952
2490430,25612956,0.4151
2089198,21344592,0.3482
